model;avg_battle_duration;avg_prompt;avg_req;max_req;min_req;num_req;attempts;num_attempts;total_faulty_message;total_internal_attack_attempts;total_internal_wrong_attack;total_success_attacks;percentage_success_attacks;total_internal_wrong_movements;total_internal_movement_attempts;total_success_movements;percentage_success_movements;num_failed_movements;avg_movements;avg_enemy;avg_ally;avg_target;avg_wave;avg_atta;
gpt-4.1;653.55;4283.58;1972.88;7371.70;1177.70;97.10;0.00;0.00;0.05;46.35;2.50;43.85;0.95;0.95;68.20;67.25;0.99;2.50;68.20;4.55;0.00;1.70;37.60;43.85
gpt-4.1-mini;756.00;4282.23;2103.54;9127.70;1177.90;108.10;0.00;0.00;0.10;67.50;3.40;64.10;0.95;0.80;67.00;66.20;0.99;3.40;67.00;5.10;0.00;1.60;57.40;64.10
gemini-2.5-flash-lite;334.60;4277.17;879.79;3739.80;573.50;62.70;0.00;0.00;0.00;11.70;3.20;8.50;0.73;3.20;54.10;50.90;0.94;3.20;54.10;7.60;0.00;0.90;0.00;8.50
claude-haiku-4-5-20251001;645.20;4304.62;2491.35;7576.20;1463.90;83.20;0.00;0.00;0.00;53.40;11.90;41.50;0.78;5.70;44.10;38.40;0.87;11.90;44.10;4.90;0.00;1.30;35.30;41.50
deepseek-v4-flash;1819.00;4287.08;33753.68;50083.60;8838.90;45.90;0.00;0.00;19.50;15.60;3.60;12.00;0.77;0.00;20.20;20.20;1.00;3.60;20.20;8.90;0.00;1.80;1.30;12.00
ministral-3b-2512;562.90;4287.96;1143.63;10117.80;499.20;107.40;0.00;0.00;0.30;74.60;64.40;10.20;0.14;12.60;99.10;86.50;0.87;64.40;99.10;4.80;0.00;0.90;4.00;9.70
claude-sonnet-4-5-20250929;388.23;4294.58;4080.41;11006.23;2486.62;45.00;0.00;0.00;0.00;37.23;19.23;18.00;0.48;4.46;34.46;30.00;0.87;19.23;34.46;7.46;0.00;1.46;9.00;17.92
deepseek-chat;750.80;4300.92;1814.26;4126.80;1347.30;120.30;0.00;0.00;0.00;16.80;4.20;12.60;0.75;0.10;109.60;109.50;1.00;4.20;109.60;6.20;0.00;1.60;4.70;12.50
o4-mini;555.70;4268.15;16363.24;54417.70;5576.80;26.30;0.00;0.00;0.80;11.40;1.10;10.30;0.90;0.00;22.20;22.20;1.00;1.10;22.20;9.00;0.00;0.80;0.50;10.30
magistral-small-2509;2181.70;4275.49;28127.57;38263.60;8878.30;66.30;0.00;0.00;17.90;18.20;6.80;11.40;0.63;0.60;39.90;39.30;0.98;6.80;39.90;8.90;0.00;1.90;0.60;11.40
gemini-2.5-flash;488.45;4277.96;8197.14;11463.40;3696.10;47.30;0.00;0.00;0.05;14.25;3.55;10.70;0.75;2.00;41.30;39.30;0.95;3.55;41.35;8.25;0.00;1.05;1.40;10.70
